ReqID,Type,Title,RequirementText,Priority,Module,ActorRole,SourceSection,DiagramRef,Entities,Attributes,APEXPages,APIAffected,RulesAlgorithms,Validations,ErrorsEdgeCases,AcceptanceCriteria,TestCaseIDs,Status,Notes
FR-001,FR,إدارة أنواع المراحل | Stage Types,يجب أن يتيح النظام تعريف وتعديل وتعطيل أنواع المراحل.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,STAGE_TYPES,TYPE_ID;NAME_AR;NAME_EN;ACTIVE,P-020,,,,N/A,يمكن إنشاء نوع مرحلة وتعديله وتعطيله ويظهر في القوائم.,TC-001,READY,
FR-002,FR,إدارة المراحل وخصائصها | Stages,يجب أن يدعم النظام المراحل بكود فريد وأسماء متعددة ولها نوع وترتيب وحالة.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,STAGES;STAGE_TYPES,STAGE_ID;CODE;NAME_AR;NAME_EN;NAME_HI;TYPE_ID;SEQ;ACTIVE,P-030,,,CODE فريد,رفض تكرار CODE,يمكن حفظ مرحلة بكود فريد وترتيب وحالة وأسماء اللغات.,TC-002,READY,
FR-003,FR,ربط المنتجات بأنواع المبيعات,يجب ربط المنتجات بأنواع المنتجات القادمة من نظام المبيعات.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,PRODUCTS,PROD_TYPE,,,,,N/A,يتم ربط المنتج بنوع المنتج من نظام المبيعات.,TC-003,READY,واجهة إدارة المنتجات غير مذكورة ضمن صفحات APEX.
FR-004,FR,قاموس مواصفات ومقاسات المنتج,يجب توفير قاموس مواصفات ومقاسات لكل منتج/موديل.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,PRODUCTS,CUSTOMER_OPTIONS_JSON,,,,,N/A,يمكن حفظ مواصفات ومقاسات مرتبطة بمنتج/موديل.,TC-004,READY,بنية القاموس التفصيلية غير محددة.
FR-005,FR,بيانات الموظفين الأساسية,يجب أن يدعم النظام بيانات الموظف: رقم وظيفي وأسماء وBadge/Barcode ومرحلة افتراضية وحالة.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,EMPLOYEES,EMP_ID;EMP_NO;NAME_AR;NAME_EN;NAME_HI;BADGE_CODE;DEFAULT_STAGE_ID;STATUS,P-040,,,EMP_NO فريد وBADGE_CODE فريد,رفض تكرار EMP_NO أو BADGE_CODE,يمكن إنشاء موظف بالحقول المطلوبة وتحديد المرحلة الافتراضية.,TC-005,READY,
FR-006,FR,مهارات الموظف والمراحل المخولة,يجب ربط الموظف بالمراحل المخولة وفق مهاراته.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,SKILLS;EMPLOYEES;STAGES,EMP_ID;STAGE_ID,P-040,,,الموظف والمرحلة موجودان,رفض ربط مرحلة غير موجودة,يمكن تعيين مراحل مخولة لكل موظف.,TC-006,READY,
FR-007,FR,قاموس العيوب حسب المرحلة,يجب توفير قاموس عيوب لكل مرحلة مع شدة وفئات.,MVP,QC,مسؤول النظام,3.1 FR-1,,DEFECTS;STAGE_DEFECTS,DEFECT_ID;CODE;SEVERITY;CATEGORY;STAGE_ID;ALLOWED;SEVERITY_OVERRIDE,P-070,,,كود العيب فريد وربط العيب بالمرحلة مسموح,رفض ربط عيب بمرحلة غير مسموح بها,يمكن ربط العيوب بالمراحل وفق القاموس المعتمد.,TC-007,READY,ASSUMPTION: A-003
FR-008,FR,جزاءات العيوب حسب السياق,يجب تعريف جزاءات العيوب حسب الوظيفة ومكان الاكتشاف والتكرار.,MVP,QC,مسؤول النظام,3.1 FR-1,,PENALTIES,PENALTY_ID;DEFECT_CODE;SEVERITY;DISCOVERY_LOCATION;ROLE;FIRST_POINTS;REPEAT_POINTS;MAX_CAP_PER_INVOICE,P-070,,,النقاط أرقام موجبة والحد الأعلى محدد,رفض إدخال نقاط سالبة أو تجاوز الحد الأقصى,تُحدد الجزاءات وفق مصفوفة النقاط المعتمدة.,TC-008,READY,ASSUMPTION: A-004
FR-009,FR,أنواع الأسعار التشغيلية,يجب دعم أسعار المراحل وفق الساعة والقطعة والحد الأدنى الشهري.,MVP,PAYROLL,مسؤول النظام,3.1 FR-1,,RATES,RATE_ID;STAGE_ID;EMP_ID;RATE_TYPE;RATE_VALUE;EFFECTIVE_FROM;EFFECTIVE_TO,P-090,,,RATE_TYPE ضمن HOUR|PIECE|MONTHLY_MIN,رفض نوع سعر غير مدعوم,يمكن تعريف سعر للساعة أو القطعة أو الحد الأدنى الشهري.,TC-009,READY,
FR-010,FR,محتوى التدريب,يجب دعم محتوى تدريبي يشمل تعليمات تشغيلية وفيديوهات واختبارات وتكرار وإقرار.,MVP,TRAINING,مسؤول النظام,3.1 FR-1,,TRAINING_CONTENT;TRAINING_ASSIGN,TR_ID;STAGE_ID;TITLE;MEDIA_URL;QUIZ_JSON;RECURRENCE;ACK_AT,P-045,,,,N/A,يمكن حفظ محتوى تدريبي وربطه بمرحلة مع تكرار وإقرار.,TC-010,READY,
FR-011,FR,قوالب WhatsApp الديناميكية,يجب توفير قوالب رسائل WhatsApp ديناميكية.,MVP,NOTIFICATIONS,مسؤول النظام,3.1 FR-1,,SETTINGS;NOTIFICATIONS,KEY;VALUE;TEMPLATE,P-010,,,,N/A,يمكن تعريف قالب رسالة ديناميكي للاستخدام في الإشعارات.,TC-011,READY,قائمة القوالب المفصلة مطلوبة في المرفقات.
FR-012,FR,إعدادات اليوم الموسمي,يجب دعم إعدادات اليوم الموسمي بحدود AM/PM بالساعة والدقيقة.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,SETTINGS,KEY;VALUE,P-010,,,,N/A,يمكن ضبط حدود اليوم الموسمي بالساعة والدقيقة.,TC-012,READY,
FR-013,FR,التوزيع الآلي حسب الأولويات,يجب تنفيذ التوزيع الآلي حسب أولوية التسليم ثم بُعد الفرع وزمن الشحن ثم رقم الفاتورة.,MVP,DISTRIBUTION,أمين المستودع,3.2 FR-2,,DISTRIBUTIONS;ORDERS,DUE_DATE;SHIP_DISTANCE;INVOICE_NUM,P-050,,ALG-003,,N/A,يتم ترتيب العناصر تلقائيا وفق القواعد المحددة.,TC-013,READY,
FR-014,FR,التوزيع اليدوي مع السبب,يجب دعم التوزيع اليدوي مع تسجيل السبب.,MVP,DISTRIBUTION,أمين المستودع,3.2 FR-2,,DISTRIBUTIONS,REASON,P-050,,,السبب مطلوب,رفض التوزيع بدون سبب,يمكن تنفيذ توزيع يدوي وتسجيل سبب التوزيع.,TC-014,READY,
FR-015,FR,تعديل التوزيع اليدوي,يجب السماح بتعديل التوزيع اليدوي مع الاحتفاظ بالسبب.,MVP,DISTRIBUTION,أمين المستودع,3.2 FR-2,,DISTRIBUTIONS,REASON,P-050,,,,N/A,يمكن تعديل توزيع يدوي قائم وتسجيل السبب.,TC-015,READY,
FR-016,FR,منع القفز غير المنطقي بين المراحل,يجب منع القفز غير المنطقي بين المراحل وفق التسلسل.,MVP,DISTRIBUTION,أمين المستودع,3.2 FR-2,,STAGES;DISTRIBUTIONS,SEQ,P-050,,,الانتقال يتبع تسلسل المراحل,رفض الانتقال غير المتسلسل,لا يسمح النظام بنقل المنتج لمرحلة غير منطقية حسب التسلسل.,TC-016,READY,
FR-017,FR,Undo لحركة التوزيع بسلطة مشرف,يجب دعم Undo لحركة التوزيع بسلطة مشرف مع تسجيل السبب.,MVP,DISTRIBUTION,مدير الإنتاج,3.2 FR-2,,DISTRIBUTIONS;AUDIT_LOG,REASON;USER_ID,P-050,,,السبب مطلوب وصلاحية المشرف,رفض Undo بدون صلاحية,يمكن للمشرف إلغاء حركة توزيع مع تسجيل السبب.,TC-017,READY,
FR-018,FR,WIP لحظي لكل مرحلة,يجب عرض WIP لحظي على مستوى المرحلة (داخل/خارج).,MVP,DISTRIBUTION,أمين المستودع,3.2 FR-2,,DISTRIBUTIONS;PROD_LOGS;STAGES,,P-050,,,,N/A,يتم تحديث WIP فوريا عند حركة المنتج أو تسجيل الإنتاج.,TC-018,READY,
FR-019,FR,توزيع حسب المراحل والموظفين للأيام دون إضافي,يجب تمكين مسؤول التوزيع من توزيع المنتجات حسب المراحل والموظفين العاملين فيها لمعالجة أيام دون إضافي.,MVP,DISTRIBUTION,أمين المستودع,1.1 الهدف,,DISTRIBUTIONS;EMPLOYEES;STAGES,,P-050,,,,N/A,يمكن اختيار مرحلة وموظفين لتوزيع المنتجات عليهم يدويا.,TC-019,READY,
FR-020,FR,دخول عبر Badge,يجب السماح بالدخول عبر مسح بطاقة الموظف.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,EMPLOYEES,BADGE_CODE,P-060,,,,رفض بطاقة غير معروفة,يسمح النظام بالدخول عبر مسح Badge صحيح.,TC-020,READY,
FR-021,FR,دخول عبر الرقم الوظيفي,يجب السماح بالدخول عبر إدخال الرقم الوظيفي.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,EMPLOYEES,EMP_NO,P-060,,,,رفض رقم وظيفي غير معروف,يسمح النظام بالدخول عند إدخال رقم وظيفي صحيح.,TC-021,READY,
FR-022,FR,اقتراح المرحلة الافتراضية,يجب اقتراح المرحلة الافتراضية للموظف عند تسجيل الإنتاج.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,EMPLOYEES;STAGES,DEFAULT_STAGE_ID,P-060,,,,N/A,تظهر المرحلة الافتراضية تلقائيا بعد الدخول.,TC-022,READY,
FR-023,FR,السماح بالمراحل المخولة فقط,يجب السماح بتسجيل الإنتاج للمراحل المخولة فقط.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,SKILLS;STAGES,STAGE_ID,P-060,,,المرحلة ضمن مهارات الموظف,رفض مرحلة غير مخولة,لا يمكن للموظف اختيار مرحلة غير مخولة.,TC-023,READY,
FR-024,FR,مسح/إدخال رقم المنتج Barcode/QR,يجب دعم مسح أو إدخال رقم المنتج عبر Barcode/QR.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,ORDER_ITEMS,ITEM_ID,P-060,,,,رفض رقم منتج غير موجود,يمكن إدخال رقم المنتج أو مسحه لتسجيل الإنتاج.,TC-024,READY,
FR-025,FR,تسجيل بداية القطعة,يجب تسجيل وقت البداية لكل قطعة.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,PROD_LOGS,START_AT,P-060,,,,N/A,يُحفظ وقت البداية عند بدء العمل على القطعة.,TC-025,READY,
FR-026,FR,تسجيل نهاية القطعة,يجب تسجيل وقت النهاية لكل قطعة.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,PROD_LOGS,END_AT,P-060,,,,رفض نهاية قبل البداية,يُحفظ وقت النهاية عند إيقاف العمل على القطعة.,TC-026,READY,
FR-027,FR,حساب المدة الفعلية,يجب احتساب المدة الفعلية لكل قطعة من البداية للنهاية.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,PROD_LOGS,DURATION_SEC,P-060,,,,N/A,يتم حساب مدة القطعة تلقائيا بعد تسجيل النهاية.,TC-027,READY,
FR-028,FR,مرحلة نهائية للمصنع,يجب تعريف مرحلة نهائية للمصنع لكشف المراحل التي لم تُسجّل.,MVP,PROD_LOGGING,مسؤول النظام,3.3 FR-3,,SETTINGS;STAGES,KEY;VALUE,P-010,,,,N/A,يمكن تحديد مرحلة نهائية ويُستخدم ذلك لإبراز المراحل غير المسجلة.,TC-028,READY,تفاصيل تمثيل المرحلة النهائية تُضبط كإعداد.
FR-029,FR,عدم تكرار المنتج في نفس المرحلة,يجب منع تكرار نفس المنتج في نفس المرحلة.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,PROD_LOGS,ITEM_ID;STAGE_ID,P-060,,,منع تكرار ITEM_ID لنفس STAGE_ID,رفض تسجيل مكرر,لا يقبل النظام تسجيل القطعة نفسها مرتين في المرحلة نفسها.,TC-029,READY,
FR-030,FR,منع تعدد الموظفين على نفس الفاتورة في مرحلة خياطة,يجب منع تشغيل نفس الفاتورة في نفس المرحلة من أكثر من موظف لبعض مراحل الخياطة.,MVP,PROD_LOGGING,عامل تشغيلي,3.3 FR-3,,ORDERS;PROD_LOGS;STAGES,INVOICE_NUM;STAGE_ID;EMP_ID,P-060,,,في المراحل IsSewing=Y وCanRunParallelForSameInvoice=N يمنع أكثر من موظف لنفس الفاتورة,رفض تسجيل موظف ثان لنفس الفاتورة في مرحلة خياطة مقيدة,يُمنع التوازي لنفس الفاتورة في مراحل الخياطة المقيدة.,TC-030,READY,ASSUMPTION: A-001; A-002
FR-031,FR,منع التسجيل لمن لديه مرتجع متأخر,يجب منع تسجيل الإنتاج لمن لديه مرتجع غير معالج بعد موعد إصلاح.,MVP,REPAIR,عامل تشغيلي,3.3 FR-3,,REPAIR_TICKETS;PROD_LOGS,DUE_AT;STATUS,P-075,,,وجود مرتجع متأخر يمنع التسجيل,رفض التسجيل عند وجود تذكرة متأخرة,لا يسمح النظام بالتسجيل عند وجود تذكرة إصلاح متأخرة غير مغلقة.,TC-031,READY,الاستثناء موضح في FR-049.
FR-032,FR,توليد مرحلة غسيل القماش,يجب فحص مواصفة غسيل القماش وتوليد مرحلة الغسيل عند الحاجة.,MVP,PROD_LOGGING,مسؤول النظام,3.3 FR-3,,SPEC_OPTIONS;ITEM_STAGE_PLAN,SPEC_KEY;SPEC_VALUE;STAGE_CODE;SEQ;REQUIRED_YN,P-060,,,تضاف المرحلة عند توفر المواصفة المحددة,منع تكرار نفس المرحلة في المسار,يُولّد StagePlan ويضيف المرحلة المطلوبة عند تحقق المواصفة.,TC-032,READY,ASSUMPTION: A-008
FR-033,FR,توليد مرحلة التطريز,يجب فحص مواصفة التطريز وتوليد مرحلة التطريز عند الحاجة.,MVP,PROD_LOGGING,مسؤول النظام,3.3 FR-3,,SPEC_OPTIONS;ITEM_STAGE_PLAN,SPEC_KEY;SPEC_VALUE;STAGE_CODE;SEQ;REQUIRED_YN,P-060,,,تضاف المرحلة عند توفر المواصفة المحددة,منع تكرار نفس المرحلة في المسار,يُولّد StagePlan ويضيف المرحلة المطلوبة عند تحقق المواصفة.,TC-033,READY,ASSUMPTION: A-008
FR-034,FR,توليد مرحلة الإكسسوار,يجب فحص مواصفة الإكسسوار وتوليد مرحلة الإكسسوار عند الحاجة.,MVP,PROD_LOGGING,مسؤول النظام,3.3 FR-3,,SPEC_OPTIONS;ITEM_STAGE_PLAN,SPEC_KEY;SPEC_VALUE;STAGE_CODE;SEQ;REQUIRED_YN,P-060,,,تضاف المرحلة عند توفر المواصفة المحددة,منع تكرار نفس المرحلة في المسار,يُولّد StagePlan ويضيف المرحلة المطلوبة عند تحقق المواصفة.,TC-034,READY,ASSUMPTION: A-008
FR-035,FR,منع خياط خارجي من مراحل خياطة المصنع,يجب منع خياط خارجي من تسجيل مراحل الخياطة التي تخص المصنع.,MVP,PROD_LOGGING,خياط,1.1 الهدف,,EMPLOYEES;STAGES;PROD_LOGS,IS_EXTERNAL_TAILOR;IS_EXTERNAL;IS_INTERNAL,P-060,,,الخياط الخارجي يسمح له فقط بالمراحل الخارجية,رفض تسجيل مرحلة داخلية لخياط خارجي,لا يمكن للخياط الخارجي تسجيل مراحل خياطة داخلية.,TC-035,READY,ASSUMPTION: A-009
FR-036,FR,ربط المرحلة بحزمة تدريب,يجب ربط كل مرحلة بحزمة تدريب تشمل تشغيل الآلة والفحص والصيانة ومعايير مصورة.,MVP,TRAINING,مسؤول النظام,3.4 FR-4,,TRAINING_CONTENT;STAGES,TR_ID;STAGE_ID,P-045,,,,N/A,يمكن ربط كل مرحلة بمحتوى تدريبي محدد.,TC-036,READY,
FR-037,FR,بوابة التدريب قبل التسجيل,يجب منع تسجيل الإنتاج قبل إتمام التدريب بنجاح.,MVP,TRAINING,عامل تشغيلي,3.4 FR-4,,TRAINING_ASSIGN;PROD_LOGS,STATUS,P-060,,,التدريب مكتمل,رفض التسجيل عند عدم اكتمال التدريب,لا يمكن التسجيل إلا بعد إكمال التدريب المطلوب.,TC-037,READY,
FR-038,FR,تكرار تدريبي دوري وإقرار إلكتروني,يجب جدولة تكرار تدريبي دوري مع إشعارات وإقرار إلكتروني محفوظ.,MVP,TRAINING,مسؤول النظام,3.4 FR-4,,TRAINING_CONTENT;TRAINING_ASSIGN;NOTIFICATIONS,RECURRENCE;DUE_DATE;ACK_AT,P-045,,,,N/A,توجد مهام تدريب دورية ويُحفظ الإقرار إلكترونيا.,TC-038,READY,
FR-039,FR,QC أولي,يجب دعم فحص جودة أولي لمراحل التحضير والخياطة.,MVP,QC,فاحص جودة أولي,3.5 FR-5,,QC_CHECKS,QC_TYPE,P-070,,,,N/A,يمكن تسجيل فحص QC من النوع الأولي.,TC-039,READY,
FR-040,FR,QC نهائي,يجب دعم فحص جودة نهائي لمراحل التشطيب.,MVP,QC,فاحص جودة نهائي,3.5 FR-5,,QC_CHECKS,QC_TYPE,P-070,,,,N/A,يمكن تسجيل فحص QC من النوع النهائي.,TC-040,READY,
FR-041,FR,QC مبيعات الفروع,يجب دعم فحص جودة لمبيعات الفروع.,MVP,QC,فاحص جودة نهائي,3.5 FR-5,,QC_CHECKS,QC_TYPE,P-070,,,,N/A,يمكن تسجيل فحص QC من نوع مبيعات الفروع.,TC-041,READY,
FR-042,FR,نتيجة QC مطابق,"يجب دعم نتيجة فحص ""مطابق للمواصفات والمقاييس"".",MVP,QC,فاحص جودة أولي,3.5 FR-5,,QC_CHECKS,RESULT,P-070,,,,N/A,يمكن حفظ نتيجة QC كـ مطابق.,TC-042,READY,
FR-043,FR,نتيجة QC إرجاع للإصلاح,"يجب دعم نتيجة فحص ""إرجاع للإصلاح"".",MVP,QC,فاحص جودة أولي,3.5 FR-5,,QC_CHECKS;REPAIR_TICKETS,RESULT,P-070,,,,N/A,يمكن تسجيل نتيجة إرجاع للإصلاح وفتح تذكرة عند الحاجة.,TC-043,READY,
FR-044,FR,نتيجة QC مرفوض وتغيير,"يجب دعم نتيجة فحص ""مرفوض وتغيير"".",MVP,QC,فاحص جودة نهائي,3.5 FR-5,,QC_CHECKS,RESULT,P-070,,,,N/A,يمكن حفظ نتيجة QC كمرفوض وتغيير.,TC-044,READY,
FR-045,FR,QC مخفي ومطابقة مواصفات,يجب تنفيذ فحص جودة مخفي يطابق المواصفات والمقاسات مع اختيار العميل وعند الفشل ينشئ تذكرة إصلاح إلزامية.,MVP,QC,فاحص جودة نهائي,3.5 FR-5,,QC_CHECKS;QC_DEFECTS;REPAIR_TICKETS;PRODUCTS;ORDERS,HIDDEN_CHECK_JSON;CUSTOMER_OPTIONS_JSON,P-070,,,مطابقة المواصفات والمقاسات,فتح تذكرة إصلاح عند الفشل,يفتح النظام تذكرة إصلاح إلزامية عند فشل الفحص المخفي.,TC-045,READY,ASSUMPTION: A-006
FR-046,FR,فحص البروفة لمراحل معينة,يجب التحقق ما إذا كان المنتج بروفة لمراحل معينة.,MVP,QC,فاحص جودة أولي,3.5 FR-5,,SPEC_OPTIONS;QC_CHECKS,SPEC_KEY;SPEC_VALUE;QC_TYPE,P-070,,,إذا كانت البروفة = true يجب إجراء QC إضافي,رفض تجاوز QC للبروفة,يتم تطبيق فحص إضافي عند وجود بروفة.,TC-046,READY,ASSUMPTION: A-007
